Release date,Product,Platform,Impact,Max Severity,Article,Article (Link),Download,Download (Link),Build Number,Details,Details (Link)
12-Aug-25,Microsoft Office 2019 for 64-bit editions,,Remote Code Execution,Important,Click to Run,https://docs.microsoft.com/en-us/officeupdates/microsoft365-apps-security-updates,Security Update,,https://aka.ms/OfficeSecurityReleases,CVE-2025-53739,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53739
12-Aug-25,Microsoft Office 2019 for 32-bit editions,,Remote Code Execution,Important,Click to Run,https://docs.microsoft.com/en-us/officeupdates/microsoft365-apps-security-updates,Security Update,,https://aka.ms/OfficeSecurityReleases,CVE-2025-53738,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53738
12-Aug-25,Microsoft Excel 2016 (64-bit edition),,Remote Code Execution,Important,5002758,https://support.microsoft.com/help/5002758,Security Update,,16.0.5513.1000,CVE-2025-53737,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53737
12-Aug-25,Microsoft Excel 2016 (32-bit edition),,Remote Code Execution,Important,5002758,https://support.microsoft.com/help/5002758,Security Update,,16.0.5513.1000,CVE-2025-53737,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53737
12-Aug-25,Microsoft Office LTSC for Mac 2024,,Remote Code Execution,Important,Release Notes,https://go.microsoft.com/fwlink/p/?linkid=831049,Security Update,https://go.microsoft.com/fwlink/p/?linkid=831049,16.100.25081015,CVE-2025-53737,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53737
12-Aug-25,Windows 11 Version 23H2 for x64-based Systems,,Remote Code Execution,Critical,5065431,https://support.microsoft.com/help/5065431,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065431,10.0.22631.5909,CVE-2025-48807,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-48807
12-Aug-25,Windows 11 Version 23H2 for ARM64-based Systems,,Remote Code Execution,Critical,5065431,https://support.microsoft.com/help/5065431,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065431,10.0.22631.5909,CVE-2025-48807,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-48807
12-Aug-25,Windows Server 2025 (Server Core installation),,Remote Code Execution,Critical,5065426,https://support.microsoft.com/help/5065426,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065426,10.0.26100.6584,CVE-2025-48807,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-48807
12-Aug-25,Windows Server 2025 (Server Core installation),,Remote Code Execution,Critical,5065474,https://support.microsoft.com/help/5065474,SecurityHotpatchUpdate,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065474,10.0.26100.6508,CVE-2025-48807,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-48807
12-Aug-25,Windows 10 Version 22H2 for x64-based Systems,,Remote Code Execution,Critical,5065429,https://support.microsoft.com/help/5065429,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065429,10.0.19045.6332,CVE-2025-48807,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-48807
12-Aug-25,Windows 11 Version 22H2 for x64-based Systems,,Remote Code Execution,Critical,5065431,https://support.microsoft.com/help/5065431,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065431,10.0.22621.5909,CVE-2025-48807,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-48807
12-Aug-25,Windows 10 Version 1607 for x64-based Systems,,Elevation of Privilege,Important,5062560,https://support.microsoft.com/help/5062560,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062560,10.0.14393.8246,CVE-2025-53789,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53789
12-Aug-25,Windows 10 Version 1607 for 32-bit Systems,,Elevation of Privilege,Important,5062560,https://support.microsoft.com/help/5062560,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062560,10.0.14393.8246,CVE-2025-53789,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53789
12-Aug-25,Windows 10 for x64-based Systems,,Elevation of Privilege,Important,5062561,https://support.microsoft.com/help/5062561,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062561,10.0.10240.21073,CVE-2025-53789,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53789
12-Aug-25,Windows 10 for 32-bit Systems,,Elevation of Privilege,Important,5062561,https://support.microsoft.com/help/5062561,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062561,10.0.10240.21073,CVE-2025-53789,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53789
12-Aug-25,Windows Server 2025,,Elevation of Privilege,Important,5062553,https://support.microsoft.com/help/5062553,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062553,10.0.26100.4652,CVE-2025-53789,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53789
12-Aug-25,Windows 11 Version 24H2 for x64-based Systems,,Elevation of Privilege,Important,5062553,https://support.microsoft.com/help/5062553,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062553,10.0.26100.4652,CVE-2025-53789,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53789
12-Aug-25,Windows 11 Version 24H2 for ARM64-based Systems,,Elevation of Privilege,Important,5062553,https://support.microsoft.com/help/5062553,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062553,10.0.26100.4652,CVE-2025-53789,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53789
